,id_aeroporto,data,data_,effettoSulVolo,id_specie_volatile,id_gruppo,coinvolti,parti_colpite
18,7,2012-04-23 00:00:00,2012-04-05 22:40:00,Nessuno,58,4.0,1.0,"Engine 1,Wing/Rotor,Landing Gear"
19,7,2012-04-21 00:00:00,2012-04-21 11:25:00,Nessuno,25,13.0,1.0,Wing/Rotor
22,7,2012-05-09 00:00:00,2012-04-26 12:00:00,Altro (specificare),14,12.0,1.0,Nose
24,7,2012-07-22 00:00:00,2012-07-22 11:02:00,Nessuno,14,12.0,1.0,Engine 1
28,7,2012-10-09 00:00:00,,Nessuno,7,6.0,1.0,Engine 2
30,7,2012-09-14 00:00:00,2012-09-14 20:02:00,Nessuno,25,13.0,1.0,Wing/Rotor
32,7,2012-10-22 00:00:00,2012-10-22 22:03:00,Nessuno,25,13.0,1.0,Engine 2
33,7,2012-11-09 00:00:00,2012-09-28 17:18:00,Nessuno,2,7.0,6.0,"Nose,Engine 1,Engine 2"
34,7,2012-11-11 00:00:00,2012-11-11 15:48:00,,25,13.0,1.0,"Radome,Engine 2"
37,7,2013-03-22 00:00:00,2013-03-22 11:31:00,Nessuno,25,13.0,1.0,Wing/Rotor
38,7,2013-04-28 00:00:00,2013-04-28 11:50:00,Nessuno,2,7.0,1.0,Engine 2
39,7,2013-07-13 00:00:00,2013-06-16 09:52:00,Nessuno,25,13.0,1.0,Nose
42,7,2013-08-13 00:00:00,2013-07-13 11:52:00,Nessuno,25,13.0,1.0,
45,7,2013-09-08 00:00:00,2013-08-07 19:27:00,Nessuno,14,12.0,1.0,Nose
47,7,2013-09-09 00:00:00,2013-08-20 07:20:00,Nessuno,25,13.0,1.0,
49,7,2013-09-18 00:00:00,2013-09-14 10:50:00,Atterraggio precauzionale,25,13.0,1.0,Engine 1
51,7,2013-09-23 00:00:00,2013-08-31 12:05:00,Nessuno,25,13.0,,Wing/Rotor
52,7,2013-09-22 00:00:00,2013-09-22 09:50:00,Nessuno,25,13.0,1.0,Wing/Rotor
54,7,2013-10-17 00:00:00,2013-10-17 18:00:00,Nessuno,25,13.0,1.0,Nose
56,7,2013-12-29 00:00:00,2013-12-29 16:15:00,,58,4.0,1.0,Landing Gear
59,7,2014-06-16 00:00:00,2014-05-21 20:02:00,Nessuno,25,13.0,1.0,Radome
60,7,2014-07-07 00:00:00,2014-07-07 19:42:00,Nessuno,25,13.0,1.0,Nose
61,7,2014-06-13 00:00:00,2014-06-13 17:15:00,Nessuno,1440,10.0,,
62,7,2014-08-25 00:00:00,2014-07-11 08:51:00,Nessuno,25,13.0,,
66,7,2014-09-27 00:00:00,2014-09-27 18:32:00,Nessuno,25,13.0,,Radome
67,7,2015-03-18 00:00:00,2015-03-14 20:56:00,Nessuno,25,13.0,1.0,Engine 2
