,id_aeroporto,data,D_data,A_effettoSulVolo,id_specie_volatile_d,id_gruppo,D_numeroVolatili
3436,7,2016-08-13 00:00:00,2016-08-13 10:26:00,,14,12.0,1.0
3437,7,2016-08-22 00:00:00,2016-08-22 14:28:00,,14,12.0,1.0
3483,7,2017-03-15 17:39:13,2017-03-15 17:39:13,,40,15.0,1.0
3536,7,2017-04-20 00:00:00,2017-04-20 15:28:00,Nessuno,7,6.0,1.0
3557,7,2017-04-27 08:55:59,2017-04-27 08:55:59,,855,14.0,1.0
3564,7,2017-04-28 19:24:06,2017-04-28 19:24:06,,13,12.0,1.0
3566,7,2017-04-29 09:00:17,2017-04-29 09:00:17,,13,12.0,1.0
3574,7,2017-05-02 00:00:00,2017-05-02 12:32:00,,14,12.0,1.0
3576,7,2017-05-02 00:00:00,2017-05-02 15:21:00,,13,12.0,1.0
3610,7,2017-05-08 19:35:07,2017-05-08 19:35:07,,40,15.0,1.0
3640,7,2017-05-23 00:00:00,2017-05-23 17:50:00,,1440,10.0,1.0
3669,7,2017-06-06 07:35:04,2017-06-06 07:35:04,,14,12.0,1.0
3705,7,2017-06-19 00:00:00,2017-06-19 09:28:00,Nessuno,13,12.0,1.0
3743,7,2017-06-30 00:00:00,2017-06-30 09:40:00,,1121,13.0,1.0
3758,7,2017-07-04 12:00:16,2017-07-04 12:00:16,,7,6.0,1.0
3794,7,2017-07-12 08:17:15,2017-07-12 08:17:15,,14,12.0,1.0
3824,7,2017-07-16 14:36:46,2017-07-16 14:36:46,,14,12.0,1.0
3838,7,2017-07-20 00:00:00,2017-07-20 11:23:00,,5,3.0,1.0
3857,7,2017-07-26 00:00:00,2017-07-26 08:44:00,,1446,16.0,1.0
3864,7,2017-07-28 00:00:00,2017-07-28 16:38:00,Nessuno,14,12.0,1.0
3865,7,2017-07-28 00:00:00,2017-07-28 17:01:00,,14,12.0,1.0
3873,7,2017-07-31 00:00:00,2017-07-31 10:27:00,,14,12.0,7.0
3874,7,2017-07-31 00:00:00,2017-07-31 10:54:00,,14,12.0,1.0
3880,7,2017-08-02 00:00:00,2017-08-02 18:42:00,,14,12.0,1.0
3882,7,2017-08-03 00:00:00,2017-08-03 13:30:00,,14,12.0,1.0
3883,7,2017-08-03 16:48:52,2017-08-03 16:48:52,,14,12.0,1.0
3887,7,2017-08-04 00:00:00,2017-08-04 18:46:00,Nessuno,14,12.0,1.0
3888,7,2017-08-05 00:00:00,2017-08-05 11:10:00,Nessuno,14,12.0,1.0
3889,7,2017-08-05 00:00:00,2017-08-05 13:24:00,,14,12.0,1.0
3890,7,2017-08-05 00:00:00,2017-08-05 14:57:00,,14,12.0,1.0
3895,7,2017-08-06 00:00:00,2017-08-06 10:15:00,,14,12.0,1.0
3896,7,2017-08-06 00:00:00,2017-08-06 11:35:00,,14,12.0,1.0
3897,7,2017-08-06 00:00:00,2017-08-06 13:15:00,,14,12.0,2.0
